DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_NATR_ACTE_JURDQ,NB_REQST
2023-05-01,"09","004",181
2023-05-01,"11","004",203
2023-05-01,"12","004",1179
2023-05-01,"13","004",1041
2023-05-01,"14","004",1628
2023-05-01,"15","004",2516
2023-05-01,"16","004",4702
2023-05-01,"17","004",676
2023-06-01,"01","004",565
2023-06-01,"02","004",999
2023-06-01,"03","004",2671
2023-06-01,"04","004",916
2023-06-01,"05","004",1013
2023-06-01,"06","004",3847
2023-06-01,"07","004",1371
2023-06-01,"08","004",445
2023-06-01,"09","004",221
2023-06-01,"11","004",190
2023-06-01,"12","004",1434
2023-06-01,"13","004",1201
2023-06-01,"14","004",1940
2023-06-01,"15","004",2755
2023-06-01,"16","004",5531
2023-06-01,"17","004",797
2023-07-01,"01","004",471
2023-07-01,"02","004",807
2023-07-01,"03","004",2000
2023-07-01,"04","004",721
2023-07-01,"05","004",853
2023-07-01,"06","004",3458
2023-07-01,"07","004",1506
2023-07-01,"08","004",446
2023-07-01,"09","004",179
2023-07-01,"11","004",211
2023-07-01,"12","004",1117
2023-07-01,"13","004",1000
2023-07-01,"14","004",1558
2023-07-01,"15","004",2403
2023-07-01,"16","004",4562
2023-07-01,"17","004",626
2023-08-01,"01","004",374
2023-08-01,"02","004",663
2023-08-01,"03","004",1617
2023-08-01,"04","004",653
2023-08-01,"05","004",788
2023-08-01,"06","004",3052
2023-08-01,"07","004",1274
2023-08-01,"08","004",345
2023-08-01,"09","004",162
2023-08-01,"11","004",139
2023-08-01,"12","004",935
2023-08-01,"13","004",832
2023-08-01,"14","004",1305
2023-08-01,"15","004",2054
2023-08-01,"16","004",3978
2023-08-01,"17","004",594
2023-09-01,"01","004",390
2023-09-01,"02","004",598
2023-09-01,"03","004",1528
2023-09-01,"04","004",620
2023-09-01,"05","004",670
2023-09-01,"06","004",2639
2023-09-01,"07","004",1065
2023-09-01,"08","004",280
2023-09-01,"09","004",173
2023-09-01,"11","004",178
2023-09-01,"12","004",855
2023-09-01,"13","004",718
2023-09-01,"14","004",1231
2023-09-01,"15","004",1831
2023-09-01,"16","004",3406
2023-09-01,"17","004",515
2023-10-01,"01","004",407
2023-10-01,"02","004",608
2023-10-01,"03","004",1562
2023-10-01,"04","004",540
2023-10-01,"05","004",718
2023-10-01,"06","004",2619
2023-10-01,"07","004",1068
2023-10-01,"08","004",277
2023-10-01,"09","004",145
2023-10-01,"11","004",141
2023-10-01,"12","004",922
2023-10-01,"13","004",677
2023-10-01,"14","004",1203
2023-10-01,"15","004",1793
2023-10-01,"16","004",3327
2023-10-01,"17","004",534
2023-11-01,"01","004",317
2023-11-01,"02","004",685
2023-11-01,"03","004",1515
2023-11-01,"04","004",647
2023-11-01,"05","004",663
2023-11-01,"06","004",2798
2023-11-01,"07","004",1051
2023-11-01,"08","004",270
2023-11-01,"09","004",107
2023-11-01,"11","004",167
2023-11-01,"12","004",872
2023-11-01,"13","004",760
2023-11-01,"14","004",1249
2023-11-01,"15","004",1941
2023-11-01,"16","004",3391
2023-11-01,"17","004",517
2023-12-01,"01","004",305
2023-12-01,"02","004",472
